date,Crakehill,Skip Bridge,Westwick,Skelton,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme
10/07/1993,5.33,2.182,6.895,14.6,4.8,0,19.2,17.6
11/07/1993,4.5,2.07,5.429,11.95,4,0,19.2,21.6
12/07/1993,4.27,2.009,4.838,10.7,0,0,0,2.4
13/07/1993,4.11,1.997,4.644,10.27,12,5.6,20,0.8
14/07/1993,4.39,2.218,4.709,10.58,22.4,24.8,13.6,0
15/07/1993,5.07,3.133,5.293,12.28,22.4,3.2,24,0
16/07/1993,6.81,3.268,12.089,17.62,12,18.4,34.4,0
17/07/1993,9.18,2.461,11.168,23.8,0,0,7.2,0
18/07/1993,6.39,2.22,8.352,17.75,3.2,2.4,18.4,0
19/07/1993,7.54,13.259,43.204,46.31,37.6,16,90.4,0
20/07/1993,12.2,5.731,21.002,46.49,28.8,14,16.8,0
21/07/1993,9.01,5.298,23.605,37.24,0,0,0,0
22/07/1993,6.88,3.273,11.16,24.29,0,0,9.6,0
23/07/1993,5.57,2.874,18.208,18.73,20.8,0,26.4,3.2
24/07/1993,13.3,2.928,23.265,39.61,1.6,0,0.8,0
25/07/1993,7.93,2.659,12.301,25.53,4,1.6,46,0
26/07/1993,6.6,2.762,14.695,22.36,9.6,0,2.4,0
27/07/1993,6.69,2.79,13.129,22.1,4,1.6,28,0
28/07/1993,6.53,2.705,15.087,23.89,0,0,0,10.4
29/07/1993,5.96,2.569,9.86,19.53,2.4,0,10.4,0
30/07/1993,5.12,2.389,7.786,15.53,0,0,12.8,0
31/07/1993,4.8,2.279,6.65,13.52,12.8,0,36.8,0
01/08/1993,4.44,2.315,6.167,12.49,0,0,4,0
02/08/1993,4.46,2.663,5.764,12.45,3.2,0,18.4,0
03/08/1993,4.29,2.412,8.176,12.56,11.2,0,34.4,12
04/08/1993,9.76,3.006,17.887,25.11,4.8,22.4,24.8,13.6
05/08/1993,54.8,26.523,86.657,108,146.4,165.6,112.8,132.8
06/08/1993,55.1,13.687,34.227,127.8,7.2,4.8,2.4,1.6
07/08/1993,15.7,4.954,17.907,48.75,0.8,1.6,19.2,12
08/08/1993,12.1,3.934,16.391,31.65,3.2,0.8,14.4,4.8
09/08/1993,15.4,4.063,18.675,33.63,26.4,47.2,53.6,45.6
10/08/1993,16.2,3.774,15.087,41.23,0,0,0.8,1.6
11/08/1993,17.2,6.017,33.505,40.14,45.6,26.4,62.4,72.4
12/08/1993,27.5,5.69,28.493,67.91,8.8,17.6,14.4,32.8
13/08/1993,16,3.9,18.254,44.83,0,0,0,0
14/08/1993,11.1,3.326,11.973,30.32,0,0,0,0
15/08/1993,12.4,5.424,15.612,31.47,28,34,48,25.6
16/08/1993,12.1,4.125,12.258,33,0,8,0,0
17/08/1993,9.26,3.332,9.114,24.38,0,0,0,0
18/08/1993,7.98,3.049,7.763,20.33,0,0,0,0
19/08/1993,7.04,2.878,6.885,17.9,0,0,22.4,4
20/08/1993,6.35,2.806,6.334,15.83,0,0,5.6,0.8
21/08/1993,5.86,2.726,5.953,14.52,1.6,0,8,3.2
22/08/1993,5.51,3.06,5.614,13.99,20.8,0,0,4.8
23/08/1993,5.48,2.763,5.499,13.78,4,0.8,0,4
24/08/1993,5.32,2.598,5.268,13.29,0,0,0,0
25/08/1993,5.2,2.518,5.085,12.84,0,0,0,0
26/08/1993,5,2.49,4.947,12.39,0,0,0,0
27/08/1993,4.82,2.443,4.779,12.07,0,0,0,0
